playerid,elo
oe:player:3ce5fd1ad8f63cfc7eddf0234260db4,1765.9105174891645
oe:player:48e06b61418cf7d3391acd04e2462a6,1812.0717839600554
oe:player:224734629348b393f3a6d6140e59956,1370.358461677816
oe:player:f1679ba0230483418084ea47bec81c7,1691.8917349021972
oe:player:a03770e1cc2a8f65de4a4e3ddd9ad49,1505.0519770989845
oe:player:a0cadee9fe05b06377a2f23feb8c9ec,1353.8541652209976
oe:player:7e754adda86a60e0a39d7204ba60424,1844.594863747941
oe:player:9573154ad8bc9459b4c0d940315054f,1965.092414756656
oe:player:a9cdfd1c803a0c395fa90d0042c1e60,1822.7112332131815
oe:player:fb61f3956c07d3b8ab2f574ab8aafc4,1823.6936484197468
oe:player:82ed56bb5761789ef7205814cf72720,1225.899038974031
oe:player:243f23cc92b239c3d989c8523770b85,1662.1405241544958
oe:player:2e10aa4c385d76eb9fc276fa0b72939,1817.4210578555417
oe:player:d9b34ab9d9fab2fac389f16f0817926,1792.8762883359257
oe:player:c49e6d739a7a7356e88aa84503666ee,1870.8178718321024
oe:player:c588a2d07b69ca4ba61c96aebd3f793,1963.5490411712365
oe:player:8a5dbe19794784cfd0553556844f045,1842.7558472940716
oe:player:9772f394c5e44d54e76aae1647217d0,1879.8035366789582
oe:player:5cc34b104708b2c71f1fb0fa6cdcecc,1889.8353311244166
oe:player:7b44aaf471c10739b7122fb17676d3c,1806.5277291995221
oe:player:b04655f0821a30125d72a3442647875,1709.2663759588715
oe:player:0a0e15e8e14edd7e4039cbf6f4fbfa4,1727.9665746689702
oe:player:a2a0d7ab33e23da9a23c463f697f82c,1639.923328772442
oe:player:d767e0e59a18a696fbc7bc5d3da921b,1864.10570869287
oe:player:f632d843c0fde5501c6d5a3274a835b,1728.5916187094044
oe:player:ad6cf93951b1ff26e5f437c0769bc7d,1520.504818947785
oe:player:60f97a9fdc976391d891dea9825df1f,1849.4803430391537
oe:player:4860d1660ce45bd15a600953309135c,1924.9717494869926
oe:player:c1a42a27d65a3ed2ebd07c5908c086c,1753.8668108350864
oe:player:1e6947ac7fb3a9529a9726eb692c8cc,1780.8891531100385
oe:player:d5074bd3a869a4392ac0a751da37cff,1800.6149490168273
oe:player:a8c9c13bba986f37048123eb1f40539,1812.3000704560443
oe:player:1806cb4175771800d1d1ace2817103c,1671.372839322676
oe:player:23f5249382ade4216547b5e109c5414,1689.8897402252924
oe:player:f73dde2d8c7879ae8d1fcdc03c4ffeb,1933.0870376906523
oe:player:9daf04bfd9c8815cc827414f59f45af,2007.0207417712625
oe:player:e59e91c17b806ec83b9cbc1f02ba0d9,1739.2091168478366
oe:player:a5f3c6a11b03839d46af9fb43c97c18,1707.1166329534312
oe:player:8b7a61a6e9bd5b8977b7b3f02a425ad,1831.8431624604154
oe:player:b85d82a85b2f24d5e4e02a6506d061a,1586.8632664895956
oe:player:778c6c3733d919a3b64885912be15a9,1812.8928709141305
oe:player:ef19fe6f71c35fce19fb88a0e732e9b,1723.5960950682017
