playername,elo
Tom,2187.269734653776
ss17,2133.5706853368965
Zeus,2118.597735944757
LoveLing,2089.3094007833715
san,2083.8722355477844
Heart,2073.6389122538912
thh,2069.87838725359
Oner,2065.3630395992104
Gogoing,2065.2669755412667
Gumayusi,2063.0963980215392
Faker,2062.0817333210293
ShowMaker,2061.537801612573
Clearlove,2060.299426853745
Mouse,2046.879466686664
Clid,2045.6984477580588
Peanut,2044.7715883920653
Bengi,2044.394453147555
Burdol,2034.344122828171
Khan,2033.12295186554
Hojin,2032.5526795381709
X1LAN,2031.245255215511
Smeb,2029.9003042652744
Cyku,2028.2546046250627
Canyon,2027.9648499871128
Kirdos,2026.645166780611
PawN,2024.738223171557
G1ft,2023.4688168146365
Nuguri,2019.7152717313288
Ning,2016.9086060831396
Mlxg,2016.8517011600072
369,2016.4877440227183
Chovy,2015.9738715395465
Bang,2015.4179395866552
Tian,2014.7981964159608
Ruler,2014.0646476850177
Duke,2013.0070792512845
Qingtian,2012.4454769966453
MaRin,2011.8017167093285
Rascal,2007.0207417712625
Jiejie,2006.5459978224708
Scout,2005.927470399817
Doran,2005.7984886852732
Keria,2004.526887803181
JackeyLove,2001.930054556692
knight,1999.8770933294331
Canna,1998.5763231649307
TheShy,1998.3735485238096
Doinb,1997.1516826521247
Ming,1995.9021891566276
BeryL,1995.844534761365
Piccaboo,1995.15804794146
Lwx,1995.1520053753936
NaMei,1994.681680649324
Cuzz,1994.4970702704231
Wolf,1993.5945252165188
Nuri21,1992.4177019929532
Letme,1992.140042007264
FZZF,1991.052657441096
Route,1990.5911873256127
Lehends,1988.3996805496784
Kanavi,1987.7221376083155
Karsa,1986.942252155532
PraY,1984.514665196704
Uzi,1983.9977775799337
U,1983.112605996084
Kurd,1982.6269483642
Jukes,1982.457102228663
Blaber,1980.4001065060704
Hope,1979.7392616352552
957,1978.711890996728
MMD,1977.68220901422
Wei,1977.6611561336167
AmazingJ,1975.8849028553416
Rookie,1975.3918522814408
XLB,1971.813330985717
Huni,1970.731060666204
Bjergsen,1970.4563817212852
Mata,1969.16175220633
Caps,1969.135175784497
Bin,1967.74324760516
Crisp,1966.2483381253428
Viper,1965.092414756656
Fudge,1964.9887554371792
TheOddOne,1964.5332629670745
GorillA,1964.526044554806
NL,1963.7237165404597
Deft,1963.5490411712365
Hanabi,1963.4653629725635
Ambition,1963.3884588223384
Zet,1963.138456483861
Avoidless,1963.0772246556355
Duocek,1962.374115889393
JunJia,1961.7073541259515
Shy,1961.623424655373
May,1961.4863100376208
Xiaohu,1961.175848057532
Ushuala,1959.5386121782865
GALA,1959.398136499964
Life,1958.7605012493868
Water,1957.8536821570797
Ali,1957.7541229681865
GimGoon,1954.7932172212245
Guti,1954.326530617061
Perkz,1954.2463553511889
Broxah,1953.9164044195516
Ben,1953.4920757964733
Bdd,1951.2739213456985
kola,1951.2047932771136
As,1951.1280995566244
Meiko,1947.7119067508183
CuVee,1947.613027851121
Angel,1947.523462826273
Looper,1946.912191776208
Baolan,1946.6668898060964
Westdoor,1945.352185096811
Nsurr,1944.8342560110316
OldB,1943.9931888910987
Impact,1942.96420459323
Porky,1942.120690623346
beishang,1941.770070850924
Weiwei,1941.655502801825
Xiaoxiang,1940.8640627487136
Maple,1940.7895706584627
Jankos,1940.3641601014167
Svenskeren,1940.1305962444735
Steak,1939.7651687867597
Leyan,1939.574210307797
Spirit,1938.403779181757
Viper,1937.9409431194813
Wunder,1937.448056378352
marilyn,1936.0525739786867
Condi,1936.0497759020477
DanDy,1934.8992825527555
Flandre,1934.4523992376903
Monki,1934.2196693462888
Langx,1934.1925704691548
Clozer,1933.4704849566688
Morgan,1933.0870376906523
Score,1932.153263841995
MaxPower,1932.1347908724224
Kuro,1931.5598576146724
Gori,1930.4165309835876
Domo,1929.9052405806744
nororin,1928.9840470127592
Kabe,1928.6662366643625
Bo,1928.3867775065487
Crisis,1928.335754880429
Xmq,1927.8103723886616
SwordArt,1927.5793355451815
Summit,1927.4598470507424
Cpt Jack,1927.386329367949
Licorice,1927.22555311408
Tarzan,1927.150597159155
Fireloli,1927.1170476156303
Lies,1926.6315535097808
Jensen,1926.287949866493
Mark,1925.810945909906
Meteos,1925.676263621317
Mountain,1925.4559417694488
Yagao,1924.9717494869928
Dai,1923.5325002163447
Doublelift,1923.5118471937917
Skye,1923.0925606104445
Winged,1922.931895104438
Rich,1922.877965282804
Eyla,1922.2232558242013
Vulcan,1921.9435311404395
Effort,1921.6119242876848
Blank,1921.341505792436
deokdam,1920.6831840648997
Hachani,1920.244046491903
zzm,1920.1879541780168
Closer,1919.79722688094
Albis,1919.2913537369384
Expect,1919.1480815990133
Rip DFG,1919.122834626589
Biubiu,1918.8985275264567
Beichuan,1918.368074630955
ZIV,1917.134145771383
iBoy,1916.7454616557309
Alone,1916.194592962231
Straawbella,1916.163286399548
Bwipo,1916.0268018056531
Baiyu,1915.793589117368
Tactical,1915.6217128659605
TrAce,1915.349634132023
Hauntzer,1914.7231554375032
Mithy,1914.4639643693483
Pyosik,1913.708036203195
