playerid,elo
oe:player:104a2cce85b9d28d40fb0ef8adec009,1838.3328560505088
oe:player:56dbe6eb71b75ef776d694e90b0f092,1969.5184278949614
oe:player:a59a2e2680fa1436b144a5068e1eb9a,1944.4246144205852
oe:player:f9d195d15959dcdadc1380c7679498c,1974.4775520993844
oe:player:fe780e036a167f8866763e51cc5d5ff,1865.3360500348945
oe:player:ccf749dcf7aa6920edb4f9dac925f0a,1948.1636869200026
oe:player:eef564a9057e0139a62ffc6d008b44c,1888.4009591842917
oe:player:c0afb32c54ffbfaa143e87bc761783e,1815.1017457891057
oe:player:00e1677908b0a579a5870fbad836dcc,1904.4650465387322
oe:player:28210a578227a57de61f42f4bd0d2b4,1930.4166379715277
oe:player:88aedcd10f779c6be5d6534daaafcb3,1275.1684580235394
oe:player:e7109918caf32398f6672de19b963e2,1912.4671221927233
oe:player:f043ac53d079e77cf14e9288e59eae0,1689.886194694678
oe:player:9cfd1934f9883bacceb945d79bddecd,1962.5563735138187
oe:player:8e8a834933a8a956b5b869f7fbbc1f2,1863.653258448366
oe:player:d51792b4d5f7e5523e2fa6df873e805,1828.7951755468923
oe:player:ba3d9b59722e6dcf32eb46a59d0e947,1517.0754013366607
oe:player:a2a0d7ab33e23da9a23c463f697f82c,1807.3520450935696
oe:player:bb1ba4e56c2da61cd8ead270cdc3588,1425.1390714450226
oe:player:a88bc5f7a12cd773c12f272b0339e89,1664.1934904420393
oe:player:4ea6a60f54e4f85fdac464f2d0b3abe,2016.4874816137108
oe:player:77c658a4a2e9f4096755a823847c19e,1992.4694839042998
oe:player:048de7d05d2591897bf71428b280a77,1870.6554141682916
oe:player:b3f894165d6166da47d52ffbf77b5d8,1825.7706577629108
oe:player:ee933e0209116546891ec86d983fba7,1876.1781666454635
oe:player:c74564637eb56c889501ab90d1efcfe,1812.023141976876
oe:player:84a58a1fb3620272c417b03619a0ee1,1696.1365459601313
oe:player:d096dd8f02bdac9358a28bac34b42d3,1969.8058180078197
oe:player:304f1326fb403496ecad8a6b52c88ce,1896.1183188505408
oe:player:bd1f1cdbac1cc218734749f458c1543,1906.7467647341125
oe:player:93f82d825f42b45556c854fdfcef571,1919.4048822880366
oe:player:834e9c779ea93625da0dfc53df5f228,1853.464220909238
oe:player:ee8d313390db21907037cef1c8d6f81,1884.2712968926435
oe:player:9cd06bbeb3c6cdc3b983285abbcb481,2017.886334653597
oe:player:22263a33de4ca6c1ca6c08de3de913e,1767.2340971698206
oe:player:bc80fda0de7cf5e0157bae63b3b248e,2242.045491429644
oe:player:d3abb04a273ed8615be5f54a391818e,2044.3154046322657
oe:player:9b73925063fe3714ebb4e8c10f551c0,2102.688310698637
oe:player:f2d5b303b172558242b02737b64694f,1941.4587910321952
oe:player:46255cede46ee63968d446148bc9b50,2075.1228641949347
oe:player:881f32366cabc700634e3df10bc7bee,2054.8007925645
oe:player:f20658650d987d31063b593c0598039,1945.0589479282398
